Date,BND,SPY,TSLA
2016-02-16,1488800,120250700,83907000
2016-02-17,2158200,136009500,87378000
2016-02-18,1819100,102343000,58314000
2016-02-19,1862600,114793000,44391000
2016-02-22,1596900,103640300,75901500
2016-02-23,2243700,111455300,89766000
2016-02-24,2434300,150812200,80934000
2016-02-25,2407600,110728300,86260500
2016-02-26,1628400,129833700,90976500
2016-02-29,1827800,125918100,67485000
2016-03-01,2546300,141799700,100683000
2016-03-02,2137300,102415000,72936000
2016-03-03,2750500,95172200,72435000
2016-03-04,1147700,129293600,97336500
2016-03-07,1303200,100219000,79941000
2016-03-08,1713100,123974900,62680500
2016-03-09,2010000,94801200,48129000
2016-03-10,1785600,156838700,77887500
2016-03-11,1422300,137964500,50146500
2016-03-14,1534200,73612000,60985500
2016-03-15,1870200,93169100,47707500
2016-03-16,1402900,129303200,52750500
2016-03-17,1571000,134278500,56743500
2016-03-18,1219400,138372400,70677000
2016-03-21,1613600,72926700,79617000
2016-03-22,2150200,97471900,64740000
2016-03-23,1234500,81052500,74232000
2016-03-24,1752300,84360900,74413500
2016-03-28,2369600,62408200,58885500
2016-03-29,1841800,92922900,60214500
2016-03-30,1624300,86365300,60495000
2016-03-31,3037600,94584100,120193500
2016-04-01,3027400,114423500,239962500
2016-04-04,1452400,63497000,202129500
2016-04-05,2149200,99662200,149230500
2016-04-06,1833100,91839800,175582500
2016-04-07,1533400,113859000,132843000
2016-04-08,1402100,95040600,110458500
2016-04-11,1214400,83757500,137425500
2016-04-12,2388000,115350600,86448000
2016-04-13,1749400,96336400,73884000
2016-04-14,1617200,65212900,61983000
2016-04-15,1181000,75761600,56286000
2016-04-18,1395400,82531000,64071000
2016-04-19,1163600,88316100,95362500
2016-04-20,2388600,81100300,77911500
2016-04-21,1683900,85695000,41746500
2016-04-22,5115300,99251700,56794500
2016-04-25,2483300,66166500,55054500
2016-04-26,1689600,75864200,48357000
2016-04-27,1456400,77329400,48087000
2016-04-28,1625800,97216200,37785000
2016-04-29,2856900,142424100,81207000
2016-05-02,2443700,62188000,57658500
2016-05-03,1765500,106422100,64533000
2016-05-04,2868300,92243800,130507500
2016-05-05,1270700,67619200,168822000
2016-05-06,1520600,89315000,85278000
2016-05-09,1373200,74374900,71646000
2016-05-10,1889300,77472200,61059000
2016-05-11,2381000,81727000,77428500
2016-05-12,1653300,89586300,54757500
2016-05-13,1397400,96474600,42342000
2016-05-16,3132000,77486800,44241000
2016-05-17,1735900,114924900,42654000
2016-05-18,1685900,120062100,84262500
2016-05-19,1464000,115430500,102994500
2016-05-20,2044000,104990400,135106500
2016-05-23,1310700,58682600,76537500
2016-05-24,2656800,93537800,45207000
2016-05-25,1474800,76621400,46902000
2016-05-26,1571700,55280700,61086000
2016-05-27,2045600,64211200,54754500
2016-05-31,1361400,109879400,41835000
2016-06-01,1625600,69936200,44740500
2016-06-02,1503200,63044700,30492000
2016-06-03,1964500,101757100,33435000
2016-06-06,1603100,64887000,33742500
2016-06-07,1283100,60974800,93204000
2016-06-08,1374500,66170900,89580000
2016-06-09,1611200,73786900,67381500
2016-06-10,1575300,113829200,90399000
2016-06-13,1681500,117751200,62895000
2016-06-14,1524200,125059300,53703000
2016-06-15,1345100,109124500,43627500
2016-06-16,1111400,149533100,36604500
2016-06-17,1860800,117055700,46689000
2016-06-20,2347500,82789600,53332500
2016-06-21,1785100,72461700,67935000
2016-06-22,1337700,95560500,356136000
2016-06-23,1152800,102731400,151960500
2016-06-24,2030400,333444400,105397500
2016-06-27,2465500,230775800,108081000
2016-06-28,2971800,159382400,93186000
2016-06-29,2425700,137328600,89923500
2016-06-30,3362300,165021900,72646500
2016-07-01,2531600,106055300,81000000
2016-07-05,3193800,109803700,77629500
2016-07-06,1936800,96021500,73798500
2016-07-07,2032500,85593800,54180000
2016-07-08,1748000,133971000,61122000
2016-07-11,2617100,73633900,81447000
2016-07-12,1775400,101275600,68569500
2016-07-13,1352500,87324100,53506500
2016-07-14,1621500,91230900,40137000
2016-07-15,2233900,107155400,33513000
2016-07-18,2155800,58725900,51181500
2016-07-19,1559600,54345700,46726500
2016-07-20,1688100,58159500,38527500
2016-07-21,2076000,67777300,66430500
2016-07-22,1612000,62787500,38695500
2016-07-25,1204600,55873100,67360500
2016-07-26,2385100,70080500,51450000
2016-07-27,1575400,84083900,43335000
2016-07-28,1418900,65035700,36286500
2016-07-29,2757900,79519400,46062000
2016-08-01,3705700,73311400,60244500
2016-08-02,4575700,92295500,59016000
2016-08-03,3472400,53993600,58317000
2016-08-04,1202000,46585500,62205000
2016-08-05,2018700,71892200,48078000
2016-08-08,1843100,39906500,33954000
2016-08-09,2262700,51251700,33117000
2016-08-10,1672200,57941100,35074500
2016-08-11,1760100,72504300,28213500
2016-08-12,1606000,61313500,27202500
2016-08-15,1942500,49813500,30514500
2016-08-16,2163100,53213600,34006500
2016-08-17,2024600,75134300,26806500
2016-08-18,1750900,52989300,25717500
2016-08-19,1995100,75443000,24892500
2016-08-22,1388100,61368800,30982500
2016-08-23,1668300,53399200,71766000
2016-08-24,2083300,71728900,38560500
2016-08-25,1737800,69224800,26437500
2016-08-26,2874500,122506300,33585000
2016-08-29,1446800,70502200,48994500
2016-08-30,4750700,58114500,47533500
2016-08-31,1911900,85269500,49147500
2016-09-01,3108600,97844200,119146500
2016-09-02,1797500,79293900,89661000
2016-09-06,4316100,56702100,65859000
2016-09-07,1849500,76554900,54613500
2016-09-08,3475600,74102900,50668500
2016-09-09,2888900,221589100,56355000
2016-09-12,3191000,168110900,55728000
2016-09-13,2669800,182828800,53841000
2016-09-14,2124500,134185500,33817500
2016-09-15,1817200,134427900,46158000
2016-09-16,1307800,155236400,46617000
2016-09-19,1558100,80250500,34492500
2016-09-20,1260900,69665300,36157500
2016-09-21,1979800,110284400,39502500
2016-09-22,1473900,76678700,35743500
2016-09-23,1441500,73630900,43578000
2016-09-26,1709200,89827300,35916000
2016-09-27,2458100,78494800,50598000
2016-09-28,2284600,87411000,31326000
2016-09-29,2886200,128070600,40905000
2016-09-30,1663600,117202900,38794500
2016-10-03,1509200,83512100,89998500
2016-10-04,1815500,119948100,53122500
2016-10-05,2666100,72816000,28162500
2016-10-06,1148500,62927400,70551000
2016-10-07,1783300,89788300,52395000
2016-10-10,1425500,51855000,49744500
2016-10-11,1476700,130367400,34926000
2016-10-12,1286400,73866100,29560500
2016-10-13,1625500,101357000,37419000
2016-10-14,1379900,93346200,64048500
2016-10-17,1008900,58275700,68311500
2016-10-18,1167300,76869700,85207500
2016-10-19,1546400,66519200,104868000
2016-10-20,1283200,73639800,76093500
2016-10-21,1018800,89089100,44151000
2016-10-24,1453900,60146600,41274000
2016-10-25,1462100,66542300,36675000
2016-10-26,1144500,75705500,84492000
2016-10-27,1848200,77220200,196405500
2016-10-28,1574400,140623200,64201500
2016-10-31,1664700,61272500,70384500
2016-11-01,1623500,122781800,105900000
2016-11-02,3138400,103330800,63801000
2016-11-03,2335700,88939300,39795000
2016-11-04,1047000,109122100,77190000
2016-11-07,1290000,109794900,58051500
2016-11-08,2509100,106772100,49014000
2016-11-09,3448800,258429000,122596500
2016-11-10,2836000,172113300,101254500
